"Albertslund","25,60","","55.676 12.345","Albertslund Kommune","Kommuneskat: 25,6%","Gevinst ved kommuneskat som i Vejle: 11.900"
"Allerød","25,30","","55.8553 12.3206","Allerød Kommune","Kommuneskat: 25,3%","Gevinst ved kommuneskat som i Vejle: 10.300"
"Assens","26,10","","55.297 10.0715","Assens Kommune","Kommuneskat: 26,1%","Gevinst ved kommuneskat som i Vejle: 14.600"
"Ballerup","25,50","","55.73 12.362","Ballerup Kommune","Kommuneskat: 25,5%","Gevinst ved kommuneskat som i Vejle: 11.400"
"Billund","24,00","","55.7379 8.9684","Billund Kommune","Kommuneskat: 24,0%","Gevinst ved kommuneskat som i Vejle: 3.200"
"Bornholm","26,20","","57.141 12.3425","Bornholms Kommune","Kommuneskat: 26,2%","Gevinst ved kommuneskat som i Vejle: 15200"
"Brøndby","24,30","","55.6435 12.4115","Brøndby Kommune","Kommuneskat: 24,3%","Gevinst ved kommuneskat som i Vejle: 4.900"
"Brønderslev","26,30","","57.2258 10.1227","Brønderslev Kommune","Kommuneskat: 26,3%","Gevinst ved kommuneskat som i Vejle: 15.700"
"Dragør","24,80","","55.5822 12.6213","Dragør Kommune","Kommuneskat: 24,8%","Gevinst ved kommuneskat som i Vejle: 7.600"
"Egedal","25,70","","55.7702 12.2332","Egedal Kommune","Kommuneskat: 25,7%","Gevinst ved kommuneskat som i Vejle: 12.400"
"Esbjerg","26,10","","55.4199 8.6838","Esbjerg Kommune","Kommuneskat: 26,1%","Gevinst ved kommuneskat som i Vejle: 14.600"
"Fanø","26,10","","55.4101 8.4113","Fanø Kommune","Kommuneskat: 26,1%","Gevinst ved kommuneskat som i Vejle: 14.600"
"Favrskov","25,70","","56.3112 9.9304","Favrskov Kommune","Kommuneskat: 25,7%","Gevinst ved kommuneskat som i Vejle: 12.400"
"Faxe","25,80","","55.2884 12.0596","Faxe Kommune","Kommuneskat: 25,8%","Gevinst ved kommuneskat som i Vejle: 13.000"
"Fredensborg","25,30","","55.9505 12.4437","Fredensborg Kommune","Kommuneskat: 25,3%","Gevinst ved kommuneskat som i Vejle: 10.300"
"Fredericia","25,50","","55.5735 9.684","Fredericia Kommune","Kommuneskat: 25,5%","Gevinst ved kommuneskat som i Vejle: 11.400"
"Frederiksberg","24,57","","55.682 12.529","Frederiksberg Kommune","Kommuneskat: 24,6%","Gevinst ved kommuneskat som i Vejle: 6.300"
"Frederikshavn","26,20","","57.4205 10.409","Frederikshavn Kommune","Kommuneskat: 26,2%","Gevinst ved kommuneskat som i Vejle: 15.200"
"Frederikssund","25,70","","55.8101 11.9657","Frederikssund Kommune","Kommuneskat: 25,7%","Gevinst ved kommuneskat som i Vejle: 12.400"
"Furesø","24,88","","55.7958 12.3675","Furesø Kommune","Kommuneskat: 24,9%","Gevinst ved kommuneskat som i Vejle: 8.000"
"Faaborg-Midtfyn","26,10","","55.197 10.366","Faaborg-Midtfyn Kommune","Kommuneskat: 26,1%","Gevinst ved kommuneskat som i Vejle: 14.600"
"Gentofte","24,24","","55.7505 12.55","Gentofte Kommune","Kommuneskat: 24,24%","Gevinst ved kommuneskat som i Vejle: 4.500"
"Gladsaxe","23,60","","55.747 12.4685","Gladsaxe Kommune","Kommuneskat: 23,6%","Gevinst ved kommuneskat som i Vejle: 1.100"
"Glostrup","24,60","","55.6833 12.4053","Glostrup Kommune","Kommuneskat: 24,6%","Gevinst ved kommuneskat som i Vejle: 6.500"
"Greve","24,59","","55.5875 12.2505","Greve Kommune","Kommuneskat: 24,6%","Gevinst ved kommuneskat som i Vejle: 6.400"
"Gribskov","25,40","","56.0485 12.213","Gribskov Kommune","Kommuneskat: 25,4%","Gevinst ved kommuneskat som i Vejle: 10.800"
"Guldborgsund","25,80","","54.8118 11.9348","Guldborgsund Kommune","Kommuneskat: 25,8%","Gevinst ved kommuneskat som i Vejle: 13.000"
"Haderslev","26,30","","55.254 9.302","Haderslev Kommune","Kommuneskat: 26,3%","Gevinst ved kommuneskat som i Vejle: 15.700"
"Halsnæs","25,70","","55.955 12.071","Halsnæs Kommune","Kommuneskat: 25,7%","Gevinst ved kommuneskat som i Vejle: 12.400"
"Hedensted","25,52","","55.7965 9.734","Hedensted Kommune","Kommuneskat: 25,5%","Gevinst ved kommuneskat som i Vejle: 11.500"
"Helsingør","25,82","","56.0365 12.5065","Helsingør Kommune","Kommuneskat: 25,8%","Gevinst ved kommuneskat som i Vejle: 13.100"
"Herlev","23,70","","55.7349 12.4268","Herlev Kommune","Kommuneskat: 23,7%","Gevinst ved kommuneskat som i Vejle: 1.600"
"Herning","25,40","","56.1576 8.8764","Herning Kommune","Kommuneskat: 25,4%","Gevinst ved kommuneskat som i Vejle: 10.800"
"Hillerød","25,60","","55.924 12.2385","Hillerød Kommune","Kommuneskat: 25,6%","Gevinst ved kommuneskat som i Vejle: 11.900"
"Hjørring","26,21","","57.463 10.051","Hjørring Kommune","Kommuneskat: 26,2%","Gevinst ved kommuneskat som i Vejle: 15.200"
"Holbæk","25,30","","55.653 11.605","Holbæk Kommune","Kommuneskat: 25,3%","Gevinst ved kommuneskat som i Vejle: 10.300"
"Holstebro","25,50","","56.3699 8.6047","Holstebro Kommune","Kommuneskat: 25,5%","Gevinst ved kommuneskat som i Vejle: 11.400"
"Horsens","25,69","","55.9335 9.755","Horsens Kommune","Kommuneskat: 25,7%","Gevinst ved kommuneskat som i Vejle: 12400"
"Hvidovre","25,40","","55.6304 12.4687","Hvidovre Kommune","Kommuneskat: 25,4%","Gevinst ved kommuneskat som i Vejle: 10.800"
"Høje-Taastrup","24,60","","55.6592 12.2389","Høje-Taastrup Kommune","Kommuneskat: 24,6%","Gevinst ved kommuneskat som i Vejle: 6.500"
"Hørsholm","23,70","","55.885 12.482","Hørsholm Kommune","Kommuneskat: 23,7%","Gevinst ved kommuneskat som i Vejle: 1.600"
"Ikast-Brande","25,10","","56.0535 9.2585","Ikast-Brande Kommune","Kommuneskat: 25,1%","Gevinst ved kommuneskat som i Vejle: 9.200"
"Ishøj","25,00","","55.6215 12.3083","Ishøj Kommune","Kommuneskat: 25,0%","Gevinst ved kommuneskat som i Vejle: 8.700"
"Jammerbugt","25,70","","57.1423 9.504","Jammerbugt Kommune","Kommuneskat: 25,7%","Gevinst ved kommuneskat som i Vejle: 12.400"
"Kalundborg","24,20","","55.622 11.2326","Kalundborg Kommune","Kommuneskat: 24,2%","Gevinst ved kommuneskat som i Vejle: 4.300"
"Kerteminde","26,10","","55.472 10.6145","Kerteminde Kommune","Kommuneskat: 26,1%","Gevinst ved kommuneskat som i Vejle: 14.600"
"Kolding","25,50","","55.4695 9.3755","Kolding Kommune","Kommuneskat: 25,5%","Gevinst ved kommuneskat som i Vejle: 11.400"
"København","23,50","","55.6825 12.5035","Københavns Kommune","Kommuneskat: 23,5%","Gevinst ved kommuneskat som i Vejle: 500"
"Køge","25,26","","55.4559 12.0703","Køge Kommune","Kommuneskat: 25,3%","Gevinst ved kommuneskat som i Vejle: 10.100"
"Langeland","26,30","","54.902 10.776","Langeland Kommune","Kommuneskat: 26,3%","Gevinst ved kommuneskat som i Vejle: 15.700"
"Lejre","25,31","","55.636 11.888","Lejre Kommune","Kommuneskat: 25,3%","Gevinst ved kommuneskat som i Vejle: 10.300"
"Lemvig","25,70","","56.4954 8.2847","Lemvig Kommune","Kommuneskat: 25,7%","Gevinst ved kommuneskat som i Vejle: 12.400"
"Lolland","26,30","","54.7955 11.2963","Lolland Kommune","Kommuneskat: 26,3%","Gevinst ved kommuneskat som i Vejle: 15.700"
"Lyngby-Taarbæk","24,38","","55.785 12.5045","Lyngby-Taarbæk Kommune","Kommuneskat: 24,4%","Gevinst ved kommuneskat som i Vejle: 5.300"
"Læsø","26,30","","57.2761 11.0214","Læsø Kommune","Kommuneskat: 26,3%","Gevinst ved kommuneskat som i Vejle: 15.700"
"Mariagerfjord","25,90","","56.7055 9.9315","Mariagerfjord Kommune","Kommuneskat: 25,9%","Gevinst ved kommuneskat som i Vejle: 13.500"
"Middelfart","25,80","","55.4475 9.8835","Middelfart Kommune","Kommuneskat: 25,8%","Gevinst ved kommuneskat som i Vejle: 13.000"
"Morsø","25,80","","56.7997 8.7306","Morsø Kommune","Kommuneskat: 25,8%","Gevinst ved kommuneskat som i Vejle: 13.000"
"Norddjurs","26,00","","56.451 10.374","Norddjurs Kommune","Kommuneskat: 26,0%","Gevinst ved kommuneskat som i Vejle: 14.100"
"Nordfyns","26,00","","55.5184 10.245","Nordfyns Kommune","Kommuneskat: 26,0%","Gevinst ved kommuneskat som i Vejle: 14.100"
"Nyborg","26,30","","55.299 10.693","Nyborg Kommune","Kommuneskat: 26,3%","Gevinst ved kommuneskat som i Vejle: 15.700"
"Næstved","25,00","","55.2615 11.5815","Næstved Kommune","Kommuneskat: 25,0%","Gevinst ved kommuneskat som i Vejle: 8.700"
"Odder","25,10","","55.9388 10.1417","Odder Kommune","Kommuneskat: 25,1%","Gevinst ved kommuneskat som i Vejle: 9.200"
"Odense","25,50","","55.385 10.372","Odense Kommune","Kommuneskat: 25,5%","Gevinst ved kommuneskat som i Vejle: 11.400"
"Odsherred","26,30","","55.8543 11.5547","Odsherred Kommune","Kommuneskat: 26,3%","Gevinst ved kommuneskat som i Vejle: 15.700"
"Randers","26,00","","56.5355 10.0695","Randers Kommune","Kommuneskat: 26,0%","Gevinst ved kommuneskat som i Vejle: 14.100"
"Rebild","25,83","","56.811 9.678","Rebild Kommune","Kommuneskat: 25,8%","Gevinst ved kommuneskat som i Vejle: 13.200"
"Ringkøbing-Skjern","25,00","","56.018 8.481","Ringkøbing-Skjern Kommune","Kommuneskat: 25,0%","Gevinst ved kommuneskat som i Vejle: 8.700"
"Ringsted","26,10","","55.4574 11.8175","Ringsted Kommune","Kommuneskat: 26,1%","Gevinst ved kommuneskat som i Vejle: 14.600"
"Roskilde","25,20","","55.6485 12.1105","Roskilde Kommune","Kommuneskat: 25,2%","Gevinst ved kommuneskat som i Vejle: 9.700"
"Rudersdal","23,52","","55.8343 12.489","Rudersdal Kommune","Kommuneskat: 23,5%","Gevinst ved kommuneskat som i Vejle: 600"
"Rødovre","25,70","","55.6875 12.4487","Rødovre Kommune","Kommuneskat: 25,7%","Gevinst ved kommuneskat som i Vejle: 12.400"
"Samsø","25,90","","55.845 10.601","Samsø Kommune","Kommuneskat: 25,9%","Gevinst ved kommuneskat som i Vejle: 13.500"
"Silkeborg","25,50","","56.1935 9.5157","Silkeborg Kommune","Kommuneskat: 25,5%","Gevinst ved kommuneskat som i Vejle: 11.400"
"Skanderborg","26,00","","56.08 9.8762","Skanderborg Kommune","Kommuneskat: 26,0%","Gevinst ved kommuneskat som i Vejle: 14.100"
"Skive","25,50","","56.646 8.985","Skive Kommune","Kommuneskat: 25,5%","Gevinst ved kommuneskat som i Vejle: 11.400"
"Slagelse","26,10","","55.3462 11.3464","Slagelse Kommune","Kommuneskat: 26,1%","Gevinst ved kommuneskat som i Vejle: 14.600"
"Solrød","24,99","","55.537 12.1745","Solrød Kommune","Kommuneskat: 25,0%","Gevinst ved kommuneskat som i Vejle: 8.600"
"Sorø","26,30","","55.4858 11.5586","Sorø Kommune","Kommuneskat: 26,3%","Gevinst ved kommuneskat som i Vejle: 15.700"
"Stevns","26,00","","55.3325 12.3078","Stevns Kommune","Kommuneskat: 26.0%","Gevinst ved kommuneskat som i Vejle: 14.100"
"Struer","25,30","","56.4607 8.555","Struer Kommune","Kommuneskat: 25,3%","Gevinst ved kommuneskat som i Vejle: 10.300"
"Svendborg","26,30","","55.124 10.673","Svendborg Kommune","Kommuneskat: 26,3%","Gevinst ved kommuneskat som i Vejle: 15.700"
"Syddjurs","25,90","","56.2715 10.6905","Syddjurs Kommune","Kommuneskat: 25,9%","Gevinst ved kommuneskat som i Vejle: 13.500"
"Sønderborg","25,70","","54.968 9.987","Sønderborg Kommune","Kommuneskat: 25,7%","Gevinst ved kommuneskat som i Vejle: 12.400"
"Thisted","25,50","","56.9145 8.4645","Thisted Kommune","Kommuneskat: 25,5%","Gevinst ved kommuneskat som i Vejle: 11.400"
"Tønder","25,30","","55.0635 8.8555","Tønder Kommune","Kommuneskat: 25,3%","Gevinst ved kommuneskat som i Vejle: 10.300"
"Tårnby","24,10","","55.6077 12.5936","Tårnby Kommune","Kommuneskat: 24,1%","Gevinst ved kommuneskat som i Vejle: 3.800"
"Vallensbæk","25,60","","55.6333 12.3716","Vallensbæk Kommune","Kommuneskat: 25,6%","Gevinst ved kommuneskat som i Vejle: 11.900"
"Varde","25,10","","55.6635 8.6345","Varde Kommune","Kommuneskat: 25,1%","Gevinst ved kommuneskat som i Vejle: 9.200"
"Vejen","25,80","","55.4744 9.0519","Vejen Kommune","Kommuneskat: 25,8%","Gevinst ved kommuneskat som i Vejle: 13.000"
